Layer,Name,Placement,Served_From,Layer_Time_s
1,embed_tokens,Host DRAM,Host DRAM,0.13356288
2,decoder_0,Host DRAM,Host DRAM,0.09803646666666667
3,decoder_1,Host DRAM,Host DRAM,0.09803646666666667
4,decoder_2,Host DRAM,Host DRAM,0.09803646666666667
5,decoder_3,Host DRAM,Host DRAM,0.09803646666666667
6,decoder_4,Host DRAM,Host DRAM,0.09803646666666667
7,decoder_5,Host DRAM,Host DRAM,0.09803646666666667
8,decoder_6,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
9,decoder_7,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
10,decoder_8,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
11,decoder_9,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
12,decoder_10,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
13,decoder_11,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
14,decoder_12,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
15,decoder_13,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
16,decoder_14,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
17,decoder_15,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
18,decoder_16,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
19,decoder_17,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
20,decoder_18,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
21,decoder_19,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
22,decoder_20,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
23,decoder_21,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
24,decoder_22,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
25,decoder_23,CXL Device DRAM,CXL DRAM (resident),0.14250705314814816
26,decoder_24,CXL Device NAND,CXL NAND (stall),0.14250705314814816
27,decoder_25,CXL Device NAND,CXL NAND (stall),0.14250705314814816
28,decoder_26,CXL Device NAND,CXL NAND (stall),0.14250705314814816
29,decoder_27,CXL Device NAND,CXL NAND (stall),0.14250705314814816
30,decoder_28,CXL Device NAND,CXL NAND (stall),0.14250705314814816
31,decoder_29,CXL Device NAND,CXL NAND (stall),0.14250705314814816
32,decoder_30,CXL Device NAND,CXL NAND (stall),0.14250705314814816
33,decoder_31,CXL Device NAND,CXL NAND (stall),0.14250705314814816
34,decoder_32,CXL Device NAND,CXL NAND (stall),0.14250705314814816
35,decoder_33,CXL Device NAND,CXL NAND (stall),0.14250705314814816
36,decoder_34,CXL Device NAND,CXL NAND (stall),0.14250705314814816
37,decoder_35,CXL Device NAND,CXL NAND (stall),0.14250705314814816
38,decoder_36,CXL Device NAND,CXL NAND (stall),0.14250705314814816
39,decoder_37,CXL Device NAND,CXL NAND (stall),0.14250705314814816
40,decoder_38,CXL Device NAND,CXL NAND (stall),0.14250705314814816
41,decoder_39,CXL Device NAND,CXL NAND (stall),0.14250705314814816
42,decoder_40,CXL Device NAND,CXL NAND (stall),0.14250705314814816
43,decoder_41,CXL Device NAND,CXL NAND (stall),0.14250705314814816
44,decoder_42,CXL Device NAND,CXL NAND (stall),0.14250705314814816
45,decoder_43,CXL Device NAND,CXL NAND (stall),0.14250705314814816
46,decoder_44,CXL Device NAND,CXL NAND (stall),0.14250705314814816
47,decoder_45,CXL Device NAND,CXL NAND (stall),0.14250705314814816
48,decoder_46,CXL Device NAND,CXL NAND (stall),0.14250705314814816
49,decoder_47,CXL Device NAND,CXL NAND (stall),0.14250705314814816
50,decoder_48,CXL Device NAND,CXL NAND (stall),0.14250705314814816
51,decoder_49,CXL Device NAND,CXL NAND (stall),0.14250705314814816
52,decoder_50,CXL Device NAND,CXL NAND (stall),0.14250705314814816
53,decoder_51,CXL Device NAND,CXL NAND (stall),0.14250705314814816
54,decoder_52,CXL Device NAND,CXL NAND (stall),0.14250705314814816
55,decoder_53,CXL Device NAND,CXL NAND (stall),0.14250705314814816
56,decoder_54,CXL Device NAND,CXL NAND (stall),0.14250705314814816
57,decoder_55,CXL Device NAND,CXL NAND (stall),0.14250705314814816
58,decoder_56,CXL Device NAND,CXL NAND (stall),0.14250705314814816
59,decoder_57,CXL Device NAND,CXL NAND (stall),0.14250705314814816
60,decoder_58,CXL Device NAND,CXL NAND (stall),0.14250705314814816
61,decoder_59,CXL Device NAND,CXL NAND (stall),0.14250705314814816
62,decoder_60,CXL Device NAND,CXL NAND (stall),0.14250705314814816
63,decoder_61,CXL Device NAND,CXL NAND (stall),0.14250705314814816
64,decoder_62,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
65,decoder_63,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
66,decoder_64,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
67,decoder_65,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
68,decoder_66,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
69,decoder_67,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
70,decoder_68,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
71,decoder_69,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
72,decoder_70,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
73,decoder_71,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
74,decoder_72,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
75,decoder_73,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
76,decoder_74,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
77,decoder_75,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
78,decoder_76,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
79,decoder_77,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
80,decoder_78,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
81,decoder_79,CXL Device NAND,CXL DRAM (prefetched hit),0.14250705314814816
82,final_norm,Host DRAM,Host DRAM,1.0533333333333333e-06
83,lm_head,Host DRAM,Host DRAM,0.13356288
